episode,win_rate
50,0.46
100,0.35
150,0.43
200,0.42
250,0.39
300,0.3
350,0.4
400,0.35
450,0.4
500,0.37
550,0.3
600,0.41
650,0.41
700,0.37
750,0.39
800,0.44
850,0.4
900,0.37
950,0.36
1000,0.42
1050,0.38
1100,0.37
1150,0.47
1200,0.36
1250,0.4
1300,0.38
1350,0.41
1400,0.45
1450,0.32
1500,0.31
1550,0.47
1600,0.3
1650,0.31
1700,0.4
1750,0.37
1800,0.29
1850,0.36
1900,0.44
1950,0.34
2000,0.49
2050,0.37
2100,0.35
2150,0.45
2200,0.39
2250,0.39
2300,0.37
2350,0.46
2400,0.39
2450,0.28
2500,0.33
2550,0.4
2600,0.43
2650,0.37
2700,0.38
2750,0.43
2800,0.36
2850,0.37
2900,0.49
2950,0.41
3000,0.46
3050,0.43
3100,0.25
3150,0.44
3200,0.45
3250,0.3
3300,0.33
3350,0.37
3400,0.3
3450,0.33
3500,0.47
3550,0.51
3600,0.37
3650,0.54
3700,0.38
3750,0.35
3800,0.4
3850,0.35
3900,0.46
3950,0.52
4000,0.39
4050,0.42
4100,0.41
4150,0.39
4200,0.42
4250,0.35
4300,0.37
4350,0.41
4400,0.45
4450,0.43
4500,0.42
4550,0.36
4600,0.39
4650,0.38
4700,0.47
4750,0.39
4800,0.37
4850,0.49
4900,0.35
4950,0.39
5000,0.46
5050,0.4
5100,0.46
5150,0.45
5200,0.37
5250,0.46
5300,0.36
5350,0.49
5400,0.46
5450,0.41
5500,0.4
5550,0.47
5600,0.42
5650,0.5
5700,0.44
5750,0.4
5800,0.41
5850,0.38
5900,0.47
5950,0.46
6000,0.37
6050,0.4
6100,0.42
6150,0.4
6200,0.4
6250,0.44
6300,0.45
6350,0.43
6400,0.44
6450,0.38
6500,0.41
6550,0.45
6600,0.35
6650,0.39
6700,0.35
6750,0.46
6800,0.5
6850,0.49
6900,0.43
6950,0.45
7000,0.47
7050,0.48
7100,0.43
7150,0.44
7200,0.46
7250,0.38
7300,0.45
7350,0.51
7400,0.48
7450,0.46
7500,0.37
7550,0.52
7600,0.37
7650,0.44
7700,0.46
7750,0.44
7800,0.51
7850,0.42
7900,0.51
7950,0.5
8000,0.4
8050,0.47
8100,0.54
8150,0.42
8200,0.44
8250,0.38
8300,0.43
8350,0.39
8400,0.43
8450,0.38
8500,0.43
8550,0.42
8600,0.41
8650,0.53
8700,0.52
8750,0.45
8800,0.41
8850,0.43
8900,0.5
8950,0.44
9000,0.46
9050,0.47
9100,0.46
9150,0.47
9200,0.41
9250,0.53
9300,0.45
9350,0.52
9400,0.51
9450,0.49
9500,0.49
9550,0.47
9600,0.42
9650,0.45
9700,0.49
9750,0.44
9800,0.48
9850,0.43
9900,0.5
9950,0.45
10000,0.5
