episode,win_rate,epsilon
100,0.025,0.6057704364907278
200,0.025,0.3669578217261671
300,0.02,0.22229219984074702
400,0.02,0.1346580429260134
500,0.025,0.1
600,0.03,0.1
700,0.075,0.1
800,0.025,0.1
900,0.09,0.1
1000,0.09,0.1
1100,0.09,0.1
1200,0.05,0.1
1300,0.1,0.1
1400,0.105,0.1
1500,0.145,0.1
1600,0.095,0.1
1700,0.115,0.1
1800,0.145,0.1
1900,0.105,0.1
2000,0.13,0.1
2100,0.1,0.1
2200,0.12,0.1
2300,0.15,0.1
2400,0.125,0.1
2500,0.09,0.1
2600,0.105,0.1
2700,0.09,0.1
2800,0.11,0.1
2900,0.115,0.1
3000,0.15,0.1
3100,0.13,0.1
3200,0.15,0.1
3300,0.155,0.1
3400,0.1,0.1
3500,0.235,0.1
3600,0.18,0.1
3700,0.165,0.1
3800,0.115,0.1
3900,0.18,0.1
4000,0.135,0.1
4100,0.185,0.1
4200,0.225,0.1
4300,0.18,0.1
4400,0.225,0.1
4500,0.175,0.1
4600,0.17,0.1
4700,0.27,0.1
4800,0.265,0.1
4900,0.235,0.1
5000,0.29,0.1
5100,0.195,0.1
5200,0.215,0.1
5300,0.19,0.1
5400,0.21,0.1
5500,0.26,0.1
5600,0.25,0.1
5700,0.32,0.1
5800,0.335,0.1
5900,0.32,0.1
6000,0.28,0.1
6100,0.195,0.1
6200,0.22,0.1
6300,0.24,0.1
6400,0.225,0.1
6500,0.245,0.1
6600,0.215,0.1
6700,0.23,0.1
6800,0.31,0.1
6900,0.265,0.1
7000,0.255,0.1
7100,0.255,0.1
7200,0.305,0.1
7300,0.22,0.1
7400,0.31,0.1
7500,0.29,0.1
7600,0.33,0.1
7700,0.295,0.1
7800,0.265,0.1
7900,0.245,0.1
8000,0.3,0.1
8100,0.37,0.1
8200,0.355,0.1
8300,0.285,0.1
8400,0.335,0.1
8500,0.23,0.1
8600,0.345,0.1
8700,0.325,0.1
8800,0.34,0.1
8900,0.295,0.1
9000,0.375,0.1
9100,0.29,0.1
9200,0.28,0.1
9300,0.35,0.1
9400,0.285,0.1
9500,0.28,0.1
9600,0.26,0.1
9700,0.285,0.1
9800,0.32,0.1
9900,0.385,0.1
10000,0.415,0.1
10100,0.385,0.1
10200,0.4,0.1
10300,0.33,0.1
10400,0.395,0.1
10500,0.335,0.1
10600,0.3,0.1
10700,0.325,0.1
10800,0.3,0.1
10900,0.47,0.1
11000,0.365,0.1
11100,0.445,0.1
11200,0.34,0.1
11300,0.375,0.1
11400,0.365,0.1
11500,0.37,0.1
11600,0.315,0.1
11700,0.44,0.1
11800,0.315,0.1
11900,0.365,0.1
12000,0.315,0.1
12100,0.29,0.1
12200,0.455,0.1
12300,0.395,0.1
12400,0.445,0.1
12500,0.44,0.1
12600,0.405,0.1
12700,0.445,0.1
12800,0.525,0.1
12900,0.39,0.1
13000,0.385,0.1
13100,0.385,0.1
13200,0.41,0.1
13300,0.36,0.1
13400,0.31,0.1
13500,0.34,0.1
13600,0.44,0.1
13700,0.405,0.1
13800,0.355,0.1
13900,0.325,0.1
14000,0.47,0.1
14100,0.43,0.1
14200,0.465,0.1
14300,0.41,0.1
14400,0.35,0.1
14500,0.46,0.1
14600,0.44,0.1
14700,0.335,0.1
14800,0.42,0.1
14900,0.46,0.1
15000,0.515,0.1
15100,0.43,0.1
15200,0.42,0.1
15300,0.38,0.1
15400,0.39,0.1
15500,0.48,0.1
15600,0.455,0.1
15700,0.38,0.1
15800,0.455,0.1
15900,0.5,0.1
16000,0.57,0.1
16100,0.295,0.1
16200,0.37,0.1
16300,0.54,0.1
16400,0.44,0.1
16500,0.485,0.1
16600,0.405,0.1
16700,0.435,0.1
16800,0.49,0.1
16900,0.35,0.1
17000,0.495,0.1
17100,0.37,0.1
17200,0.37,0.1
17300,0.45,0.1
17400,0.425,0.1
17500,0.39,0.1
17600,0.55,0.1
17700,0.42,0.1
17800,0.535,0.1
17900,0.34,0.1
18000,0.375,0.1
18100,0.41,0.1
18200,0.425,0.1
18300,0.475,0.1
18400,0.465,0.1
18500,0.545,0.1
18600,0.415,0.1
18700,0.345,0.1
18800,0.41,0.1
18900,0.455,0.1
19000,0.48,0.1
19100,0.445,0.1
19200,0.52,0.1
19300,0.53,0.1
19400,0.5,0.1
19500,0.44,0.1
19600,0.485,0.1
19700,0.495,0.1
19800,0.35,0.1
19900,0.385,0.1
20000,0.395,0.1
20100,0.42,0.1
20200,0.51,0.1
20300,0.545,0.1
20400,0.48,0.1
20500,0.515,0.1
20600,0.54,0.1
20700,0.415,0.1
20800,0.525,0.1
20900,0.495,0.1
21000,0.56,0.1
21100,0.455,0.1
21200,0.41,0.1
21300,0.49,0.1
21400,0.595,0.1
21500,0.51,0.1
21600,0.535,0.1
21700,0.54,0.1
21800,0.455,0.1
21900,0.52,0.1
22000,0.44,0.1
22100,0.51,0.1
22200,0.495,0.1
22300,0.515,0.1
22400,0.57,0.1
22500,0.47,0.1
22600,0.4,0.1
22700,0.53,0.1
22800,0.575,0.1
22900,0.515,0.1
23000,0.475,0.1
23100,0.59,0.1
23200,0.385,0.1
23300,0.615,0.1
23400,0.415,0.1
23500,0.45,0.1
23600,0.485,0.1
23700,0.505,0.1
23800,0.49,0.1
23900,0.52,0.1
24000,0.495,0.1
24100,0.405,0.1
24200,0.465,0.1
24300,0.515,0.1
24400,0.52,0.1
24500,0.6,0.1
24600,0.415,0.1
24700,0.575,0.1
24800,0.545,0.1
24900,0.49,0.1
25000,0.52,0.1
25100,0.49,0.1
25200,0.345,0.1
25300,0.465,0.1
25400,0.43,0.1
25500,0.565,0.1
25600,0.54,0.1
25700,0.54,0.1
25800,0.645,0.1
25900,0.465,0.1
26000,0.4,0.1
26100,0.405,0.1
26200,0.52,0.1
26300,0.43,0.1
26400,0.48,0.1
26500,0.52,0.1
26600,0.55,0.1
26700,0.5,0.1
26800,0.5,0.1
26900,0.57,0.1
27000,0.48,0.1
27100,0.46,0.1
27200,0.495,0.1
27300,0.605,0.1
27400,0.51,0.1
27500,0.475,0.1
27600,0.56,0.1
27700,0.535,0.1
27800,0.49,0.1
27900,0.5,0.1
28000,0.445,0.1
28100,0.54,0.1
28200,0.585,0.1
28300,0.6,0.1
28400,0.515,0.1
28500,0.465,0.1
28600,0.49,0.1
28700,0.46,0.1
28800,0.465,0.1
28900,0.47,0.1
29000,0.5,0.1
29100,0.575,0.1
29200,0.62,0.1
29300,0.535,0.1
29400,0.545,0.1
29500,0.435,0.1
29600,0.5,0.1
29700,0.475,0.1
29800,0.575,0.1
29900,0.53,0.1
30000,0.475,0.1
30100,0.545,0.1
30200,0.545,0.1
30300,0.51,0.1
30400,0.485,0.1
30500,0.52,0.1
30600,0.56,0.1
30700,0.51,0.1
30800,0.505,0.1
30900,0.59,0.1
31000,0.51,0.1
31100,0.565,0.1
31200,0.44,0.1
31300,0.49,0.1
31400,0.545,0.1
31500,0.455,0.1
31600,0.52,0.1
31700,0.605,0.1
31800,0.59,0.1
31900,0.595,0.1
